################################################################################
# Collectl:   V3.7.4-1  HiRes: 1  Options: -scmsd -i 5 -R 1200s -oDm -P -f/tmp 
# Host:       resource-cataloguer  DaemonOpts: 
# Booted:     1479330575.8 [20161116-21:09:35]
# Distro:     debian 8.6  Platform: Droplet
# Date:       20161116-212039  Secs: 1479331239 TZ: +0000
# SubSys:     cmsd Options: Dm Interval: 5 NumCPUs: 1  NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2399.998 Cores: 1  Siblings: 1 Nodes: 1
# Kernel:     3.16.0-4-amd64  Memory: 1024436 kB  Swap: 0 kB
# NumDisks:   1 DiskNames: vda
# NumNets:    6 NetNames: lo:?? veth05ea936:10000 eth1:?? veth9a79adf:10000 docker0:?? eth0:??
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [SOCK]Used [SOCK]Tcp [SOCK]Orph [SOCK]Tw [SOCK]Alloc [SOCK]Mem [SOCK]Udp [SOCK]Raw [SOCK]Frag [SOCK]FragMem [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20161116 21:20:45.001 0 0 0 0 0 0 0 100 0 0 0 11 22 0 135 0 0.09 0.27 0.16 0 0 1024436 909620 114816 0 39472 556628 113680 98472 181928 745708 0 0 0 0 0 0 520 0 0 278548 0 18 4 0 0 0 0 14936 125 5 0 1 16 0 0 0 0 0 0 4 4 0 18 18 0 0 0
20161116 21:20:50.005 0 0 0 0 0 0 0 100 0 0 0 11 23 0 135 0 0.08 0.26 0.16 0 0 1024436 909596 114840 0 39472 556628 113612 98472 181948 745708 0 0 0 0 0 0 520 0 0 278548 0 0 13 0 0 0 0 14888 125 5 0 1 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20161116 21:20:55.001 0 0 0 0 0 0 0 100 0 0 0 12 24 0 135 0 0.07 0.26 0.16 0 0 1024436 909596 114840 0 39472 556628 113632 98472 181964 745708 0 0 0 0 0 0 500 0 0 278548 0 4 0 0 0 0 0 14888 125 5 0 1 16 0 0 0 0 0 0 0 0 0 4 4 0 0 0
20161116 21:21:00.006 0 0 0 0 0 0 0 99 0 0 0 13 27 0 135 1 0.07 0.25 0.16 1 0 1024436 909596 114840 0 39480 556628 113628 98472 181964 745708 0 0 0 0 0 0 504 0 0 278548 0 4 0 0 0 0 0 14884 125 5 0 1 16 0 0 0 0 0 0 1 1 0 4 4 0 0 0
20161116 21:21:05.001 2 0 1 0 0 0 0 98 2 0 0 21 41 0 135 0 0.06 0.25 0.16 0 0 1024436 909712 114724 0 39480 556628 113740 98472 181972 745708 0 0 0 0 0 0 124 0 0 278548 0 82 101 0 0 0 0 14976 125 5 0 1 16 0 0 0 0 0 0 16 16 0 82 82 0 2 2
20161116 21:21:10.001 1 0 0 0 0 0 0 99 1 0 0 25 54 1 139 1 0.06 0.25 0.16 1 0 1024436 912228 112208 0 39488 556704 113876 98656 184172 749732 0 0 0 0 0 0 284 0 0 278616 14 11 250 0 0 0 0 15092 133 7 0 1 18 1 0 0 0 0 1 3 4 14 11 25 0 0 0
20161116 21:21:15.001 0 0 0 0 0 0 0 99 1 0 0 19 44 0 139 0 0.05 0.24 0.15 0 0 1024436 912476 111960 0 39496 556724 113900 98808 184216 749732 0 0 0 0 0 0 240 0 0 278636 4 33 13 0 0 0 0 15092 131 7 0 1 18 0 0 0 0 0 0 4 4 4 33 37 0 0 0
20161116 21:21:20.006 0 0 0 0 0 0 0 100 0 0 0 16 39 0 135 1 0.05 0.24 0.15 1 0 1024436 910000 114436 0 39504 556800 113812 98804 181976 749732 0 0 0 0 0 0 268 0 0 278692 18 5 8 0 0 0 0 15004 125 5 0 1 16 0 0 0 0 0 1 1 2 18 5 23 0 0 0
20161116 21:21:25.001 0 0 0 0 0 0 0 100 0 0 0 11 23 0 135 0 0.04 0.23 0.15 0 0 1024436 909976 114460 0 39504 556824 113716 98804 181976 749732 0 0 0 0 0 0 300 0 0 278736 0 0 0 0 0 0 0 14920 125 5 0 1 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20161116 21:21:30.006 0 0 0 0 0 0 0 100 0 0 0 14 28 0 135 1 0.04 0.23 0.15 1 0 1024436 909972 114464 0 39512 556824 113764 98804 181984 749732 0 0 0 0 0 0 8 0 0 278736 0 65 0 0 0 0 0 14988 125 5 0 0 16 1 0 0 0 0 0 13 13 0 65 65 0 1 1
20161116 21:21:35.001 0 0 0 0 0 0 0 100 0 0 0 13 34 0 135 0 0.04 0.23 0.15 0 0 1024436 910092 114344 0 39520 556824 113748 98804 181984 749732 0 0 0 0 0 0 48 0 0 278736 0 14 99 0 0 0 0 14964 125 5 0 0 16 1 0 0 0 0 0 3 3 0 14 14 0 0 0
20161116 21:21:40.001 0 0 0 0 0 0 0 100 0 0 0 13 29 0 135 1 0.03 0.22 0.15 1 0 1024436 910092 114344 0 39528 556824 113708 98804 181984 749732 0 0 0 0 0 0 48 0 0 278736 0 8 0 0 0 0 0 14928 125 5 0 0 16 1 0 0 0 0 0 2 2 0 8 8 0 0 0
